Project,Description,Outcome EN,Output EN,Sector,Beneficiary,Donor,Beneficiary Type,Regional Group,Start Date,End Date,Coordinates
Practical handbook on periodic reporting and self learning tool ORF,"The General Assembly of the 2003 Convention at its seventh session approved the Convention's Overall results framework, as well as a transition towards a regional cycle of periodic reporting. To further enhance capacity-building activities provided by the Secretariat, with a focus on the relevance of the periodic reporting exercise and the ORF for policy-making at the national level, a practical handbook and a self-learning tool are foreseen to be developed. The handbook would aim to address the practical needs of the country focal points in the preparation of their periodic reports, while the self-learning tool would aim to familiarize relevant actors with the ORF.",Outcome 5 - Enhance the protection and promotion of the diversity of heritage and cultural expressions,"5.CLT4 - Member States and communities capacities strengthened to identify, safeguard and promote living heritage",CULTURE,Global,,Global,,2024-01-01,2025-12-31,
United Nations System Staff College,UN Joint Machinery Participation towards the United Nations System Staff College,"Enabling Outcome 10 - Reinforced partnerships, outreach and advocacy in support of UNESCO’s action",Joint Machinery of the United Nations system (JUNM),PARTICIPATION IN THE JOINT MACHINERY THE UNITED NATIONS SYSTEM JUNM,,,,,2024-01-01,2025-12-31,
UN Medical Doctors Network,UN Joint machinery Participation in the cost sharing of the Medical Doctors Secretariat by the World Food Programme,"Enabling Outcome 10 - Reinforced partnerships, outreach and advocacy in support of UNESCO’s action",Joint Machinery of the United Nations system (JUNM),PARTICIPATION IN THE JOINT MACHINERY THE UNITED NATIONS SYSTEM JUNM,,,,,2024-01-01,2025-12-31,
"Improving IWRM, Knowledge-based Management and Governance of the Niger","The full-size project aims at improving knowledge-based management, governance and resources conservation of the Niger Basin and the Iullemeden-Taoudeni/Tanezrouft Aquifer System (ITTAS) to support Integrated Water Resources Managements (IWRM) for the benefit of communities and the resilience of ecosystems. UNESCO is responsible for the design of a governance mechanism that would take into account surface and groundwater (Conjunctive Management). The main partners of the project are the Niger Basin Authority and the OSS","Outcome 3 - Enhance knowledge for climate action, biodiversity, water and ocean management, and disaster risk reduction","3.SC2 - Water science, innovation, education, management, cooperation and governance bolstered for a water secure world in a changing environment",NATURAL SCIENCES,Africa,United Nations Environment Programme,Region,,2019-04-24,2025-06-30,
Guiding and Supporting the Enhancement of Teacher Policies and Practices,"UNESCO Bangkok's Workplan for OP5 Regular Programme strategically focuses on two key components to advance UNESCO's pivotal role in teacher development across the Asia-Pacific region. The first component prioritizes evidence-based research and publications, with the goal of generating practical and implementable recommendations to enhance teacher policies and practices. Through a systematic exploration of diverse educational contexts, practices, and experiences throughout the region, the research aims to develop a profound understanding of the unique issues, challenges, and needs in different countries, laying the groundwork for targeted interventions. The second component involves the organisation of and active participation in a variety of advocacy events, most notably the World Teachers' Day celebration. These events serve as influential platforms to champion policies and practices that effectively contribute to the realization of SDG4, fostering meaningful international exchange and collaboration on various aspects related to teacher development.",Outcome 1 - Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all,1.ED5 - Teachers trained and supported to improve learning outcomes and address the changes brought forth by the digital and AI transformation and the COVID-19 crisis,EDUCATION,Asia and the Pacific,,Region,,2024-01-01,2025-12-31,
Communication,Renforcement des activités de communication du secteur de la culture,,"CLT Programme-related, operating and staff costs",CULTURE,Global,,Global,,2022-01-01,2023-12-31,
Implementation of the Regional Action Plan for Africa (2021-2027),"Under Global Priority Africa, the Secretariat will implement and promote the Regional Action Plan 2021-2027 and Flagship Programme 3: Fostering cultural heritage and capacity development. It will support capacity building, the increase of African experts, and involve youth. The Secretariat will primarily support 11 countries with no properties on the WH List, assist 14 sites on the List of the WH in danger, mentoring experts and support conservation to achieve targets of the SDGs and Aspiration 5 of the Agenda 2063. Support will focus on the participation of the States Parties, the African World Heritage Fund, universities, experts, civil society, youth and other partners in celebrating the 50th anniversary of the 1972 Convention.",Outcome 5 - Enhance the protection and promotion of the diversity of heritage and cultural expressions,"5.CLT1 - Member States capacities strengthened to identify, protect and manage tangible heritage",CULTURE,Africa,,Region,,2024-01-01,2025-12-31,
Supporting the implementation of the WH Convention in Europe and North America,"Monitoring of the state of conservation of World Heritage properties in Europe and North America will be carried out in close cooperation with the competent national authorities and the Advisory Bodies to the World Heritage Committee. Support will also be provided for the implementation of the regional action plan resulting from the Third Periodic Reporting Cycle, including through the development of expertise and tools for the effective sustainable management of World Heritage properties.",Outcome 5 - Enhance the protection and promotion of the diversity of heritage and cultural expressions,"5.CLT1 - Member States capacities strengthened to identify, protect and manage tangible heritage",CULTURE,Europe and North America,,Region,,2024-01-01,2025-12-31,
STAFF COMPENSATION GRANTS,Provision for staff compensation,"Enabling Outcome 11 - Accountable, efficient and effective management in pursuit of the Organization's results",11.FLD3 - Enhanced administrative and operational support by addressing existing and emerging needs,FIELD OFFICES PROGRAMME MANAGEMENT AND SUPPORT SERVICES,Europe and North America,,Region,,2015-01-01,2025-12-31,
Transforming Education for Health and Wellbeing,Transforming Education for Health and Wellbeing,"Outcome 7 - Promote inclusion and combat discrimination, hate speech and stereotypes","7.ED3 - Learners are empowered to lead healthy lives, promote sustainable development and engage with the world as creative and responsible global citizens",EDUCATION,Global,,Global,,2024-01-01,2025-12-31,
Campus Africa,"UNESCO’s Campus Africa programme supports governments across the African continent in building integrated, inclusive and quality tertiary education systems. Support to local research and innovation capacities, intra-African student mobility, labour market entry and entrepreneurial endeavor, particularly in key green and inclusive growth sectors such as agriculture, renewable energies and technological innovation (including digital and artificial intelligence), will enable African higher education eco-systems to leverage their unique talents and potential for a sustainable and prosperous future.

Launched under UNESCO’s Operational Strategy for Priority Africa 2022-2029, Campus Africa will achieve its aims by: i) enhancing the general and applied research capacity of African tertiary institutions through capacity strengthening, networking, knowledge sharing and partnerships; ii) facilitating intra and inter-continental mobility and increased access to tertiary education through the take-up of doctoral studies, scholarships and study grants, and; iii) improving the relevance of the higher education ‘offer’ through partnerships with employers in key growth sectors and youth skill development to enhance employability and entrepreneurship.

Across all these areas, Campus Africa emphasizes the building of robust quality assurance systems and recognition of qualifications, as well as possibilities for reinforcing decision-making through the improved availability of quality, comprehensive data and statistics on higher education.",Outcome 1 - Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all,"1.ED4 - Learners equipped with relevant skills to meet individual, labour market and societal demands through literacy, TVET, STEM and higher education",EDUCATION,Africa,,Region,,2024-01-01,2025-12-31,
Lisbon Convention for Europe,"This workpkplan focuses on advancing the European higher education agenda and cooperation with other regions, in UNESCO's capacity as the co-Secretariat to the Lisbon Convention. In particular, this will be done through policy support to the Lisbon Convention Committee, ENIC-NARIC network of national information centres and Bologna Follow-up Group (BFUG).",Outcome 1 - Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all,"1.ED4 - Learners equipped with relevant skills to meet individual, labour market and societal demands through literacy, TVET, STEM and higher education",EDUCATION,Europe and North America,,Region,,2024-01-01,2025-12-31,
Global Convention,"This workplan primarily focuses on the advancement and implementation of the Global Convention for the Recognition of Qualifications concerning Higher Education. It also aims to support the operationalization of regional conventions in Africa, the Arab States, Asia-Pacific and Latin America and the Caribbean through their respective Secretariats.",Outcome 1 - Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all,"1.ED4 - Learners equipped with relevant skills to meet individual, labour market and societal demands through literacy, TVET, STEM and higher education",EDUCATION,Global,,Global,,2024-01-01,2025-12-31,
42C/5 OP9,"Education and learning reimagined through interdisciplinary research,
foresight and public policy debate","Outcome 2 - Strengthen international coordination for the achievement of SDG 4 and develop the global education agenda based on research, foresight and innovation","2.ED9 - Education and learning reimagined through interdisciplinary research, foresight and public policy debate",EDUCATION,Global,,Global,,2024-01-01,2025-12-31,
Support Pacific SIDS Leading Resilient Education Systems,"This programme provides an enabling platform for Pacific SIDS regional education cooperation through the Pacific Heads of Education Systems (PHES), a network of 15 Education Ministries for over 45 years that UNESCO supports. PHES serves as independent venue to dialogue Pacific education priorities, issues and provide direction for regional programme and resource mobilization. It supports knowledge generation/sharing, South-South collaboration, leadership and professional development of the members and their respective Ministries, with a particular focus on quality education data enhancement and its application in policies and planning. The workplan contributes to enhanced capacity, network, decision making and resource mobilization mechanism of Pacific education leaders. The workplan complements OP1 and OP7 in particular.",Outcome 1 - Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all,"1.ED6 - Resilience, quality and equity of education systems strengthened to flexibly respond to evolving learning environments and to better deliver on SDG4 commitments",EDUCATION,Asia and the Pacific,,Region,,2024-01-01,2025-12-31,
Strengthening resilience and effectiveness of education systems in LAC to better deliver SDG4,"UNESCO Santiago will carry out analytical work on the state of education in the region and coordinates the response to the needs of Member States in the areas of education planning and management, including monitoring, information systems, education statistics, and their use and impact on the coverage and quality of education. Additionally, its Latin American Laboratory for Assessment of the Quality of Education (LLECE) will support Member States in the better use of information of the results generated by the Regional Comparative and Explanatory Study (ERCE) to know where they are in the educational trajectory, to build evidence on what works to achieve greater coherence of education policies, and better alignment between policy goals and processes within and across systems.",Outcome 1 - Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all,"1.ED6 - Resilience, quality and equity of education systems strengthened to flexibly respond to evolving learning environments and to better deliver on SDG4 commitments",EDUCATION,Latin America and the Caribbean,,Region,,2024-01-01,2025-12-31,
Regional Steering Committee and SDG 4 Monitoring in LAC,"LAC has developed the Regional Coordination Mechanism, a technical-political dialogue strategy, to deepen educational cooperation efforts that support countries on their way to achieving the SDG 4. This mechanism, established in 2018, is led by the ministers of education of the region and supported by the Regional Steering Committee (RSC) and UNESCO Santiago as Executive Secretariat. This project aims to develop the Regional Steering Committee Workplan for 2024 - 2025 and to monitor the progress in achieving the SDG 4 targets.","Outcome 2 - Strengthen international coordination for the achievement of SDG 4 and develop the global education agenda based on research, foresight and innovation","2.ED7 - Education policy and finance decisions to achieve SDG 4 are informed by improved coordination, data and monitoring, knowledge and innovative partnerships",EDUCATION,Latin America and the Caribbean,,Region,,2024-01-01,2025-12-31,
3% Evaluation SC1,"The overall purpose of this workplan is ensure a proper evaluation coverage of the sector’s programme and projects, for accountability, learning and decision-making. The key activities are the delivery and dissemination of corporate evaluations on strategic/ global and thematic topics and an annual synthesis report of all UNESCO evaluations. It also involves support to the decentralized evaluation function by building the capacity of UNESCO staff through a dedicated training programme; financing and managing Regional Evaluation Associates in five duty stations (to start in 2025) and animating the Evaluation Focal Point Network and the UNESCO Evaluation Knowledge Hub.","Outcome 3 - Enhance knowledge for climate action, biodiversity, water and ocean management, and disaster risk reduction","3.SC1 - Inclusive knowledge and capacities of Member States strengthened to advance and apply science for sustainable management of natural resources, ecosystem and biodiversity conservation and restoration, and disaster risk resilience",NATURAL SCIENCES,Global,,Global,,2024-01-01,2025-12-31,
3% Evaluation SC3,"The overall purpose of this workplan is ensure a proper evaluation coverage of the sector’s programme and projects, for accountability, learning and decision-making. The key activities are the delivery and dissemination of corporate evaluations on strategic/ global and thematic topics and an annual synthesis report of all UNESCO evaluations. It also involves support to the decentralized evaluation function by building the capacity of UNESCO staff through a dedicated training programme; financing and managing Regional Evaluation Associates in five duty stations (to start in 2025) and animating the Evaluation Focal Point Network and the UNESCO Evaluation Knowledge Hub.","Outcome 3 - Enhance knowledge for climate action, biodiversity, water and ocean management, and disaster risk reduction",3.SC3 - SIDS empowered with strengthened capacities in UNESCO fields of expertise to better address their specific challenges,NATURAL SCIENCES,Global,,Global,,2024-01-01,2025-12-31,
3% Evaluation SC5,"The overall purpose of this workplan is ensure a proper evaluation coverage of the sector’s programme and projects, for accountability, learning and decision-making. The key activities are the delivery and dissemination of corporate evaluations on strategic/ global and thematic topics and an annual synthesis report of all UNESCO evaluations. It also involves support to the decentralized evaluation function by building the capacity of UNESCO staff through a dedicated training programme; financing and managing Regional Evaluation Associates in five duty stations (to start in 2025) and animating the Evaluation Focal Point Network and the UNESCO Evaluation Knowledge Hub.","Outcome 4 - Advance international cooperation in science, technology and innovation","4.SC5 - Institutional and human capacities in basic sciences, technology, research, innovation, and engineering enhanced to advance knowledge for sustainable development",NATURAL SCIENCES,Global,,Global,,2024-01-01,2025-12-31,
World Climate Research Programme (WCRP),"IOC is a co-sponsor of the World Climate Research Programme (WCRP). WCRP provides the international and intergovernmental platform to design the research agenda on climate and climate change, on the basis of which national research agendas are developed. The discharge of such national research agendas leads to improving the knowledge base on climate and climate change, which in turn inform the assessment work of the IPCC and, ultimately, policy decisions including those of the UNFCCC and its Paris Agreement. WCRP encompasses an ocean element, of particular relevance to IOC's work and to which IOC is uniquely positioned to contribute.","Outcome 3 - Enhance knowledge for climate action, biodiversity, water and ocean management, and disaster risk reduction","3.IOC1 - Member States critically supported in strengthening their capacity to conduct marine scientific research, generate knowledge, and develop and implement science-based tools, services, and policies in order to reverse the decline in ocean health and accelerate the transition towards sustainable management of ocean-related risks and opportunities",SECRETARIAT INTGOV. OCEANOGRAPHIC COM.,Global,,Global,,2024-01-01,2025-12-31,
Support to the implementation of the World Heritage Committee's decisions,"This workplan takes in all activities of the World Heritage Centre at Headquarters level to support the effective implementation of the 1972 Convention, funded from the Regular Programme, although on an ad hoc basis, considering the amount available and the fact that this workplan also covers the running costs of the World Heritage Centre at Headquarters.",Outcome 5 - Enhance the protection and promotion of the diversity of heritage and cultural expressions,"5.CLT1 - Member States capacities strengthened to identify, protect and manage tangible heritage",CULTURE,Global,,Global,,2024-01-01,2025-12-31,
Climate Change Adaptation in Coastal Zones,"One of the priorities in the context of the ICAM Strategy is to build the capacity of national and local coastal management agencies in designing and implementing coastal hazards mitigations, through the use of best practices advocated within new guidelines, as well as access to resources on the topic of hazards mitigation and climate change adaptation.","Outcome 3 - Enhance knowledge for climate action, biodiversity, water and ocean management, and disaster risk reduction","3.IOC1 - Member States critically supported in strengthening their capacity to conduct marine scientific research, generate knowledge, and develop and implement science-based tools, services, and policies in order to reverse the decline in ocean health and accelerate the transition towards sustainable management of ocean-related risks and opportunities",SECRETARIAT INTGOV. OCEANOGRAPHIC COM.,Global,,Global,,2024-01-01,2025-12-31,
"Follow-up to SDGs, WOA & State of the Ocean Reporting","The IOC will fulfill its commitment to be custodian for two SDG 14 indicators, 14.3.1 focusing on ocean acidification and 14.a.1 on scientific cooperation/investment. 

In order to meet the increased demand by decision-makers and society at large for current and easily accessible information on the state of the ocean, as well as to contribute to the UN Ocean Decade, the IOC will develop 'State of the Ocean Report' (StOR).","Outcome 3 - Enhance knowledge for climate action, biodiversity, water and ocean management, and disaster risk reduction","3.IOC1 - Member States critically supported in strengthening their capacity to conduct marine scientific research, generate knowledge, and develop and implement science-based tools, services, and policies in order to reverse the decline in ocean health and accelerate the transition towards sustainable management of ocean-related risks and opportunities",SECRETARIAT INTGOV. OCEANOGRAPHIC COM.,Global,,Global,,2024-01-01,2025-12-31,
Mainstreaming gender equality in Southeast Asia through the Transforming MENtalities framework,"This workstream builds on best practices of the Social and Human Sciences Sector's programming to engage men and boys in gender equality in other countries and regions. Responding to the needs, priorities, and demand identified in the Southeast Asia SHS will build a follow-on/up programme, to strengthen a) knowledge on the behavioural, institutional, and structural factors which enable interventions to engage men and boys for gender equality to be successful; 2) the scale and reach of operational activities to engage men and boys for gender equality within educational and community settings; and 3) the networks available to encourage peer-learning, good practice sharing, and coordination around engaging men and boys for gender equality in areas of SHS mandate such as inter-cultural dialogue, ethics of science and technology and youth and sports for development.","Outcome 7 - Promote inclusion and combat discrimination, hate speech and stereotypes","7.SHS3 - Member States capacities are strengthened to scale up their policy, institutional and legislative actions towards gender equality, to eliminate gender-based violence and discrimination, gender biases and stereotypes, including in the digital world",SOCIAL AND HUMAN SCIENCES,Asia and the Pacific,,Region,,2024-01-01,2025-12-31,
Support to the implementation of global and other related priorities,"This workplan will support the contribution of World Heritage to UNESCO global priorities such as Africa, gender and youth (on an ad hoc basis, considering the amount available), as well as the implementation of other priorities in relation to Historical Urban Landscapes or architecture.",Outcome 5 - Enhance the protection and promotion of the diversity of heritage and cultural expressions,"5.CLT1 - Member States capacities strengthened to identify, protect and manage tangible heritage",CULTURE,Global,,Global,,2024-01-01,2025-12-31,
Support to the nomination process,"Technical assistance and guidance to States Parties preparing Tentative Lists and Nominations. Coordination and registration of Upstream Process requests, Tentative Lists, Preliminary Assessment Requests, technical analysis and focused comments on Draft Nominations and completeness check of full Nominations. Preparation of documents and presentations for the Committee, General Assembly and their subsidiary bodies, concerning nominations and related processes. Examination of nomination dossiers of already inscribed properties through the Retrospective Inventory. Provision of expertise and institutional memory regarding the nomination process to all kind of working groups, expert meetings, training courses, reflections and reforms.",Outcome 5 - Enhance the protection and promotion of the diversity of heritage and cultural expressions,"5.CLT1 - Member States capacities strengthened to identify, protect and manage tangible heritage",CULTURE,Global,,Global,,2024-01-01,2025-12-31,
UN Workplace Mental health and Well-being Strategy,UN Joint Machinery Participation towards the UN Workplace Mental health and Well-being Strategy,"Enabling Outcome 10 - Reinforced partnerships, outreach and advocacy in support of UNESCO’s action",Joint Machinery of the United Nations system (JUNM),PARTICIPATION IN THE JOINT MACHINERY THE UNITED NATIONS SYSTEM JUNM,,,,,2024-01-01,2025-12-31,
Indigenous languages on the Internet,"“Los Pinos Declaration Chapoltepek – Making a Decade of Action for Indigenous Languages” includes the “Digital empowerment, language technology and indigenous media” as one of the thematic considerations to preserve and enhance the social use and value of the indigenous languages. This in connection with the impact of the ICT and digital environment in access to information and knowledge. Indigenous languages as a major cultural factor of identity and communication in intercultural codes is a key driver to preserve and revitalize languages in the digital environment. Thus, ICT tools, resources and platforms should point to incorporate mother languages to decrease the dominance of the major languages on Internet by providing opportunities to use them in producing contents and communication processes. 

1.	Intersectoral online education/training programs that incorporate elements of interculturality, historical identity and mother languages to provide a platform for dialogue and thinking around emerging issues (artificial intelligence and inequality in the application of justice / stereotypes and racism on the Internet / gaps of access due to gender and ethnicity / cultural invisibility and narrative hegemonies / denial and restorative justice) that can be a source of inequities and intersectional vulnerability for indigenous and Afro-descendant populations; 
2.	Support the participation of women community communicators in global platforms sponsored and promoted by UNESCO; 
3.	UNESCO/CIESPAL online agenda - Online workshops of different levels of Kichwa - the most spoken indigenous language in Ecuador -. Online seminars on Recommendations on the promotion and use of multilingualism and universal access to cyberspace and UNESCO`s documents ""The impact of Disinformation on Indigenous Populations"" and ""Artificial intelligence focused on indigenous peoples: perspectives from Latin America and the Caribbean"".",Outcome 5 - Enhance the protection and promotion of the diversity of heritage and cultural expressions,"5.CI1 - Member States have enhanced capacities to promote and protect linguistic diversity and multilingualism, including in the framework of the International Decade of Indigenous Languages 2022-2032",COMMUNICATION AND INFORMATION,Latin America and the Caribbean,,Region,,2024-01-01,2025-12-31,
42 C/5 OP 1,"Education systems equipped to promote inclusion, address marginalization
and advance rights, including in crisis-affected and post-disaster contexts",Outcome 1 - Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all,"1.ED1 - Education systems equipped to promote inclusion, address marginalization and advance rights, including in crisis-affected and post-disaster contexts",EDUCATION,Global,,Global,,2024-01-01,2025-12-31,
Knowledge management and information technologies initiatives within t,"At its 196th session, the Executive Board endorsed the Knowledge Management & Information and Communication Technology (KM & ICT) Strategy. It expressed its satisfaction with the progress made so far and recognized the need for a considerable targeted investment to fully implement the KM & ICT strategy. At the 197th session, five KM & ICT projects were proposed as part of the Invest for Efficient Delivery plan, as these investments could not be absorbed under the 38 C/5 Regular Budget. The Executive Board approved the initial phases of the Invest for Efficient Delivery plan.","Enabling Outcome 11 - Accountable, efficient and effective management in pursuit of the Organization's results",11.DBS1 - More integrated and properly codified project and knowledge management in support of programme delivery,BUREAU DIGITAL BUSINESS SOLUTIONS,,,,,2016-01-01,2024-12-31,
Semaine Africaine - Editions 2019-2023,"La semaine africaine est célébrée tous les ans au Siège de l'UNESCO, pour coincider avec la journée mondiale de l'Afrique (25 mai), à l'initiative du Groupe africain et en coopération avec l'UNESCO/le Département Afrique. L'UNESCO apporte à la fois une contribution financière et sur le plan du contenu pour soutenir cet événement (tables-rondes, communication, visibilité, etc). La contribution financière couvre notamment les frais techniques, l'hospitalité, l'interprétation et la location des espaces utilisés.","Enabling Outcome 10 - Reinforced partnerships, outreach and advocacy in support of UNESCO’s action","10.PAX3 - Impact and visibility of UNESCO's programmes in Africa strengthened through enhanced coordination, monitoring and mobilization of partners in relation to the Operational Strategy for Priority Africa (2022-2029), and better understanding of Africa's development opportunities and challenges",PRIORITY AFRICA & EXT. RELATIONS,Africa,,Region,,2019-02-06,2024-12-31,
Contribution to the United Nations Transforming Education Summit,"The UN Secretary-General decided to convene a Transforming Education Summit in September 2022. As the world emerges from the COVID-19 crisis, the Summit will serve to mobilize action, ambition, solidarity and solutions to recover pandemic-related learning losses, reimagine education for the future and reignite global efforts to deliver the education-related SDGs by 2030.
The Summit is part of the broader roadmap of the new SDG4 Global Education Cooperation Mechanism. In this context, UNESCO has been entrusted to lead the preparations and follow-up of the Summit. This Special Account has been created to receive contributions from multiple donors for both its preparation and follow-up.","Outcome 2 - Strengthen international coordination for the achievement of SDG 4 and develop the global education agenda based on research, foresight and innovation","2.ED7 - Education policy and finance decisions to achieve SDG 4 are informed by improved coordination, data and monitoring, knowledge and innovative partnerships",EDUCATION,Global,,Global,,2024-01-01,2025-12-31,
Restoration of Burle Marx Patios,"As part of the 10 year Capital Master Plan, the renovation project of the Burle Marx Patios is considered critical. The technical diagnostic note revealed that the constant water leakage is damaging the structure of the building and needs to be addressed urgently. 

In addition, the artistic component of the restauration of the patios is being handled in close cooperation with Brazil and Morocco Permanent Delegations. 

And a larger fundraising campaign for the project has been initiated.","Enabling Outcome 11 - Accountable, efficient and effective management in pursuit of the Organization's results",11.OPS1 -  Procurement and contracting function enhanced at HQ and in support of the field network and programme implementation facilities’ effective management and sustainable financing ensured,DIVISION OPERATIONS,,,,,2023-04-11,2024-06-30,
42C/5 OP7,"Education policy and finance decisions to achieve SDG 4 are informed by
improved coordination, data and monitoring, knowledge and innovative partnerships","Outcome 2 - Strengthen international coordination for the achievement of SDG 4 and develop the global education agenda based on research, foresight and innovation","2.ED7 - Education policy and finance decisions to achieve SDG 4 are informed by improved coordination, data and monitoring, knowledge and innovative partnerships",EDUCATION,Global,,Global,,2024-01-01,2025-12-31,
"The Safeguarding, Refurbishment and Revitalization of the Islamic Museum","The project aims to create the necessary conditions to conserve and safeguard the collections of the Islamic Museum through: refurbishment and equipping of its interior; building the professional capacity of museum professionals in various domains (conservation, exhibition development, public and educational programme development, museum management and administration, etc) through targeted training; and developing a basic electronic inventory of the entire collection, including photographic documentation and object condition reports. Thanks to this the Museum will be officially reopened with suitable visitor services.",Outcome 5 - Enhance the protection and promotion of the diversity of heritage and cultural expressions,"5.CLT2 - Member States capacities strengthened to fight the illicit trafficking of cultural property and promote its return and restitution, to protect underwater cultural heritage and to promote the role of museums for societies",CULTURE,Arab States,Saudi Arabia,Region,,2006-04-10,2024-01-01,
